[DOMAIN:标签] [CAT:人物/对象] 1girl | 1个女孩
[DOMAIN:标签] [CAT:人物/身份（职业）] werecanid | 犬兽人
[DOMAIN:标签] [CAT:人物/胸部] mole_on_breast | 胸部痣
[DOMAIN:标签] [CAT:人物/指甲] pink_pawpads | 粉色肉垫
[DOMAIN:标签] [CAT:人物/眼睛] tareme | 垂眼
[DOMAIN:标签] [CAT:人物/对象] personification | 拟人化
[DOMAIN:标签] [CAT:人物/面部] blood_on_face | 脸上血迹
[DOMAIN:标签] [CAT:人物/翅膀] multi_tail | 多重尾巴
[DOMAIN:标签] [CAT:人物/性器官] humanoid_pussy | 人形阴部
[DOMAIN:标签] [CAT:人物/对象] nude_anthro | 全裸兽人
[DOMAIN:标签] [CAT:人物/胸部] puffy_nipples | 凸起乳头
[DOMAIN:标签] [CAT:人物/对象] kemonomimi_mode | 兽耳模式
[DOMAIN:标签] [CAT:人物/对象] furry_female | 兽娘
[DOMAIN:标签] [CAT:人物/指甲] long_fingernails | 长指甲
[DOMAIN:标签] [CAT:人物/翅膀] white_wings | 白色翅膀
[DOMAIN:标签] [CAT:人物/指甲] colored_nails | 彩色指甲
[DOMAIN:标签] [CAT:人物/年龄] age_difference | 年龄差
[DOMAIN:标签] [CAT:人物/性器官] bulge | 凸起
[DOMAIN:标签] [CAT:人物/对象] fin | 鳍
[DOMAIN:标签] [CAT:人物/对象] feline_humanoid | 猫科人形
[DOMAIN:标签] [CAT:人物/眉毛] raised_eyebrows | 挑眉
[DOMAIN:标签] [CAT:人物/头发发型] short_ponytail | 短马尾
[DOMAIN:标签] [CAT:人物/头发发型] curly_hair | 卷发
[DOMAIN:标签] [CAT:人物/皮肤] dark_body | 深色躯体
[DOMAIN:标签] [CAT:人物/年龄] mature_female | 成熟女性
[DOMAIN:标签] [CAT:人物/对象] futanari | 扶她
[DOMAIN:标签] [CAT:人物/对象] animal_hands | 动物爪部
[DOMAIN:标签] [CAT:人物/眼睛] empty_eyes | 空洞眼神
[DOMAIN:标签] [CAT:人物/对象] male/ambiguous | 男性/模糊性别
[DOMAIN:标签] [CAT:人物/面部] faceless_male | 无脸男性
[DOMAIN:标签] [CAT:人物/对象] 4boys | 四少年
[DOMAIN:标签] [CAT:人物/嘴巴] mouth_closed | 闭口
[DOMAIN:标签] [CAT:人物/对象] furry_male | 兽人
[DOMAIN:标签] [CAT:人物/头发发型] light_blue_hair | 浅蓝发
[DOMAIN:标签] [CAT:人物/眼睛] colored_eyelashes | 彩色睫毛
[DOMAIN:标签] [CAT:人物/眼睛] wide-eyed | 圆睁双眼
[DOMAIN:标签] [CAT:人物/对象] dog_tail | 犬尾
[DOMAIN:标签] [CAT:人物/对象] semi-anthro | 半兽化
[DOMAIN:标签] [CAT:人物/对象] 6+boys | 6人以上男孩
[DOMAIN:标签] [CAT:人物/头发发型] asymmetrical_bangs | 不对称刘海
[DOMAIN:标签] [CAT:人物/对象] cat_humanoid | 猫形人
[DOMAIN:标签] [CAT:人物/面部] stubble | 胡茬
[DOMAIN:标签] [CAT:人物/皮肤] tanlines | 晒痕
[DOMAIN:标签] [CAT:人物/身材] plump | 丰满
[DOMAIN:标签] [CAT:人物/头发发型] tentacle_hair | 触手状头发
[DOMAIN:标签] [CAT:人物/对象] rabbit_girl | 兔女郎
[DOMAIN:标签] [CAT:人物/对象] romantic_couple | 浪漫伴侣
[DOMAIN:标签] [CAT:人物/对象] twins | 双胞胎
[DOMAIN:标签] [CAT:人物/对象] monster | 怪物
[DOMAIN:标签] [CAT:人物/眼睛] multicolored_eyes | 异色瞳
[DOMAIN:标签] [CAT:人物/对象] fins | 鳍状肢
[DOMAIN:标签] [CAT:人物/头发发型] braided_ponytail | 编织马尾
[DOMAIN:标签] [CAT:人物/头发发型] sideburns | 鬓角
[DOMAIN:标签] [CAT:人物/对象] mini_person | 迷你人
[DOMAIN:标签] [CAT:人物/对象] big_tail | 巨大尾巴
[DOMAIN:标签] [CAT:人物/指甲] bandaged_arm | 绷带手臂
[DOMAIN:标签] [CAT:人物/年龄] younger_male | 年轻男性
[DOMAIN:标签] [CAT:人物/身材] slim | 纤细
[DOMAIN:标签] [CAT:人物/身材] height_difference | 身高差
[DOMAIN:标签] [CAT:人物/头发发型] asymmetrical_hair | 不对称发型
[DOMAIN:标签] [CAT:人物/对象] wolf_girl | 狼娘
[DOMAIN:标签] [CAT:人物/对象] werecanine | 犬化人
[DOMAIN:标签] [CAT:人物/面部] mustache | 小胡子
[DOMAIN:标签] [CAT:人物/身材] larger_anthro | 大体型兽人
[DOMAIN:标签] [CAT:人物/头发发型] hair_down | 披发
[DOMAIN:标签] [CAT:人物/翅膀] dragon_tail | 龙尾
[DOMAIN:标签] [CAT:人物/头发发型] long_bangs | 长刘海
[DOMAIN:标签] [CAT:人物/对象] ghost | 幽灵
[DOMAIN:标签] [CAT:人物/身材] small_waist | 细腰
[DOMAIN:标签] [CAT:人物/眉毛] eyebrow_through_hair | 透发可见的眉毛
[DOMAIN:标签] [CAT:人物/嘴巴] pink_lips | 粉红嘴唇
[DOMAIN:标签] [CAT:人物/身份（职业）] dog_girl | 犬娘
[DOMAIN:标签] [CAT:人物/头发发型] braided_hair | 编发
[DOMAIN:标签] [CAT:人物/年龄] aged_up | 年龄增长
[DOMAIN:标签] [CAT:人物/对象] nude_female | 女性裸体
[DOMAIN:标签] [CAT:人物/性器官] multi_penis | 多重阴茎
[DOMAIN:标签] [CAT:人物/对象] injury | 受伤
[DOMAIN:标签] [CAT:人物/眉毛] short_eyebrows | 短眉
[DOMAIN:标签] [CAT:人物/腿部] multi_limb | 多肢体
[DOMAIN:标签] [CAT:人物/身份（职业）] oni | 鬼
[DOMAIN:标签] [CAT:人物/对象] brother_and_sister | 兄妹
[DOMAIN:标签] [CAT:人物/对象] black_horns | 黑角
[DOMAIN:标签] [CAT:人物/胸部] bouncing_breasts | 胸部晃动
[DOMAIN:标签] [CAT:人物/性器官] cleft_of_venus | 维纳斯之丘
[DOMAIN:标签] [CAT:人物/面部] scar_across_eye | 眼部伤疤
[DOMAIN:标签] [CAT:人物/胸部] breasts_squeezed_together | 胸部挤压
[DOMAIN:标签] [CAT:人物/面部] bags_under_eyes | 眼袋
[DOMAIN:标签] [CAT:人物/性器官] retracted_foreskin | 包皮后退
[DOMAIN:标签] [CAT:人物/指甲] toenail_polish | 趾甲油
[DOMAIN:标签] [CAT:人物/身材] growth | 生长
[DOMAIN:标签] [CAT:人物/头发发型] eyebrows_hidden_by_hair | 眉毛被头发遮盖
[DOMAIN:标签] [CAT:人物/性器官] large_penis | 巨根
[DOMAIN:标签] [CAT:人物/性器官] veiny_penis | 青筋阴茎
[DOMAIN:标签] [CAT:人物/面部] eyeliner | 眼线
[DOMAIN:标签] [CAT:人物/对象] minigirl | 迷你女孩
[DOMAIN:标签] [CAT:人物/牙齿] forehead_mark | 额前印记
[DOMAIN:标签] [CAT:人物/对象] horned_humanoid | 有角人形
[DOMAIN:标签] [CAT:人物/对象] male_on_human | 男性与人类
[DOMAIN:标签] [CAT:人物/皮肤] tan_skin | 棕褐色皮肤
[DOMAIN:标签] [CAT:人物/对象] nude_male | 男性裸体
[DOMAIN:标签] [CAT:人物/皮肤] blue_skin | 蓝色皮肤
[DOMAIN:标签] [CAT:人物/指甲] sharp_fingernails | 尖指甲
[DOMAIN:标签] [CAT:人物/指甲] purple_nails | 紫色指甲
[DOMAIN:标签] [CAT:人物/翅膀] low_wings | 低垂翅膀
[DOMAIN:标签] [CAT:人物/腹部] huge_belly | 巨腹
[DOMAIN:标签] [CAT:人物/年龄] older_male | 年长男性
[DOMAIN:标签] [CAT:人物/头发发型] hair_behind_ear | 鬓发挽耳
[DOMAIN:标签] [CAT:人物/嘴巴] red_lips | 红唇
[DOMAIN:标签] [CAT:人物/身材] muscular_female | 肌肉女性
[DOMAIN:标签] [CAT:人物/眼睛] wide_eyed | 圆睁双眼
[DOMAIN:标签] [CAT:人物/头发发型] single_side_bun | 单侧发髻
[DOMAIN:标签] [CAT:人物/面部] goatee | 山羊胡
[DOMAIN:标签] [CAT:人物/皮肤] light_skin | 浅色皮肤
[DOMAIN:标签] [CAT:人物/身材] butt_crack | 股沟
[DOMAIN:标签] [CAT:人物/身份（职业）] nun | 修女
[DOMAIN:标签] [CAT:人物/性器官] plump_labia | 丰腴阴唇
[DOMAIN:标签] [CAT:人物/皮肤] arm_tattoo | 手臂纹身
[DOMAIN:标签] [CAT:人物/性器官] pink_pussy | 粉嫩小穴
[DOMAIN:标签] [CAT:人物/鼻子] no_nose | 无鼻
[DOMAIN:标签] [CAT:人物/腿部] long_legs | 长腿
[DOMAIN:标签] [CAT:人物/胸部] large_areolae | 大乳晕
[DOMAIN:标签] [CAT:人物/对象] interracial | 跨种族
[DOMAIN:标签] [CAT:人物/眼睛] black_sclera | 黑色巩膜
[DOMAIN:标签] [CAT:人物/头发发型] crown_braid | 皇冠编发
[DOMAIN:标签] [CAT:人物/面部] full-face_blush | 满脸通红
[DOMAIN:标签] [CAT:人物/头发发型] hime_cut | 姬发式
[DOMAIN:标签] [CAT:人物/头发发型] blunt_ends | 发梢平齐
[DOMAIN:标签] [CAT:人物/对象] multi_arm | 多臂
[DOMAIN:标签] [CAT:人物/腿部] kneepits | 膝窝
[DOMAIN:标签] [CAT:人物/胸部] exposed_breasts | 裸露乳房
[DOMAIN:标签] [CAT:人物/性器官] gaping_anus | 扩张肛门
[DOMAIN:标签] [CAT:人物/头发发型] flipped_hair | 甩动头发
[DOMAIN:标签] [CAT:人物/头发发型] bangs | 刘海
[DOMAIN:标签] [CAT:人物/对象] gynomorph/male | 女形男体
[DOMAIN:标签] [CAT:人物/头发发型] folded_ponytail | 折叠马尾
[DOMAIN:标签] [CAT:人物/头发发型] double-parted_bangs | 中分刘海
[DOMAIN:标签] [CAT:人物/对象] body_fur | 体毛
[DOMAIN:标签] [CAT:人物/鼻子] nose | 鼻子
[DOMAIN:标签] [CAT:人物/对象] clothed_anthro | 着装着装拟人
[DOMAIN:标签] [CAT:人物/头发发型] cum_on_hair | 发间精液
[DOMAIN:标签] [CAT:人物/对象] android | 安卓机器人
[DOMAIN:标签] [CAT:人物/身材] size_difference | 体型差
[DOMAIN:标签] [CAT:人物/眼睛] multi_eye | 复眼
[DOMAIN:标签] [CAT:人物/头发发型] very_short_hair | 超短发
[DOMAIN:标签] [CAT:人物/头发发型] hair_spread_out | 散发
[DOMAIN:标签] [CAT:人物/对象] clothed_female | 着装女性
[DOMAIN:标签] [CAT:人物/年龄] shota | 正太
[DOMAIN:标签] [CAT:人物/头发发型] absurdly_long_hair | 超长发
[DOMAIN:标签] [CAT:人物/性器官] long_penis | 长阴茎
[DOMAIN:标签] [CAT:人物/对象] antennae | 触角
[DOMAIN:标签] [CAT:人物/身份（职业）] angel | 天使
[DOMAIN:标签] [CAT:人物/皮肤] fur_markings | 毛发斑纹
[DOMAIN:标签] [CAT:人物/头发发型] alternate_hair_length | 交替发长
[DOMAIN:标签] [CAT:人物/头发发型] hair_over_eyes | 遮眼发
[DOMAIN:标签] [CAT:人物/瞳孔] star-shaped_pupils | 星形瞳孔
[DOMAIN:标签] [CAT:人物/身材] underbust | 下胸围
[DOMAIN:标签] [CAT:人物/身份（职业）] miko | 巫女
[DOMAIN:标签] [CAT:人物/胸部] hanging_breasts | 悬垂乳房
[DOMAIN:标签] [CAT:人物/对象] casual_nudity | 日常裸体
[DOMAIN:标签] [CAT:人物/眼睛] ringed_eyes | 圈圈眼
[DOMAIN:标签] [CAT:人物/皮肤] white_fur | 白色毛皮
[DOMAIN:标签] [CAT:人物/性器官] partially_visible_vulva | 若隐若现阴部
[DOMAIN:标签] [CAT:人物/腿部] cum_on_leg | 腿间精液
[DOMAIN:标签] [CAT:人物/翅膀] antlers | 鹿角
[DOMAIN:标签] [CAT:人物/性器官] clitoris | 阴蒂
[DOMAIN:标签] [CAT:人物/性器官] penis_outline | 阴茎轮廓
[DOMAIN:标签] [CAT:人物/身材] huge_ass | 巨臀
[DOMAIN:标签] [CAT:人物/对象] smaller_human | 较小人类
[DOMAIN:标签] [CAT:人物/性器官] brown_nipples | 褐色乳首
[DOMAIN:标签] [CAT:人物/肩部] armpit_crease | 腋窝褶皱
[DOMAIN:标签] [CAT:人物/面部] facial_scar | 面部疤痕
[DOMAIN:标签] [CAT:人物/对象] creature | 生物
[DOMAIN:标签] [CAT:人物/身份（职业）] mtf_crossgender | 男跨女
[DOMAIN:标签] [CAT:人物/身材] bubble_butt | 圆润翘臀
[DOMAIN:标签] [CAT:人物/年龄] bishounen | 美少年
[DOMAIN:标签] [CAT:人物/腰部] midriff_peek | 腰部裸露
[DOMAIN:标签] [CAT:人物/对象] scales | 鳞片
[DOMAIN:标签] [CAT:人物/眼睛] symbol_in_eye | 眼中符号
[DOMAIN:标签] [CAT:人物/胸部] lactation | 泌乳
[DOMAIN:标签] [CAT:人物/皮肤] green_skin | 绿色皮肤
[DOMAIN:标签] [CAT:人物/身材] petite | 娇小体型
[DOMAIN:标签] [CAT:人物/肩部] single_bare_shoulder | 单肩裸露
[DOMAIN:标签] [CAT:人物/嘴巴] split_mouth | 裂口
[DOMAIN:标签] [CAT:人物/年龄] older_female | 年长女性
[DOMAIN:标签] [CAT:人物/面部] ear_tuft | 耳簇
[DOMAIN:标签] [CAT:人物/腰部] huge_hips | 巨臀
[DOMAIN:标签] [CAT:人物/头发发型] bun_cover | 包子头盖发
[DOMAIN:标签] [CAT:人物/身份（职业）] cheerleader | 啦啦队员
[DOMAIN:标签] [CAT:人物/翅膀] fairy_wings | 精灵翅膀
[DOMAIN:标签] [CAT:人物/翅膀] bird_wings | 羽翼
[DOMAIN:标签] [CAT:人物/舌头] saliva_on_tongue | 舌上唾液
[DOMAIN:标签] [CAT:人物/牙齿] round_teeth | 圆齿状牙
[DOMAIN:标签] [CAT:人物/对象] joints | 关节
[DOMAIN:标签] [CAT:人物/对象] cow_ears | 牛耳
[DOMAIN:标签] [CAT:人物/眼睛] covered_eyes | 遮眼
[DOMAIN:标签] [CAT:人物/身份（职业）] witch | 魔女
[DOMAIN:标签] [CAT:人物/对象] sweaty_butt | 汗湿臀部
[DOMAIN:标签] [CAT:人物/胸部] nipple_slip | 走光
[DOMAIN:标签] [CAT:人物/眼睛] eyeball | 眼球
[DOMAIN:标签] [CAT:人物/胸部] big_pecs | 厚实胸肌
[DOMAIN:标签] [CAT:人物/肩部] bare_back | 裸背
[DOMAIN:标签] [CAT:人物/身材] hourglass_figure | 沙漏身材
[DOMAIN:标签] [CAT:人物/对象] multiple_others | 多人
[DOMAIN:标签] [CAT:人物/性器官] penis_tip | 龟头
[DOMAIN:标签] [CAT:人物/眼睛] big_eyes | 大眼睛
[DOMAIN:标签] [CAT:人物/头发发型] dark_blue_hair | 深蓝色头发
[DOMAIN:标签] [CAT:人物/身份（职业）] royalty | 王室
[DOMAIN:标签] [CAT:人物/性器官] pink_anus | 粉红肛穴
[DOMAIN:标签] [CAT:人物/身份（职业）] fairy | 精灵
[DOMAIN:标签] [CAT:人物/身份（职业）] ninja | 忍者
[DOMAIN:标签] [CAT:人物/胸部] inverted_nipples | 内陷乳头
[DOMAIN:标签] [CAT:人物/嘴巴] triangle_mouth | 三角嘴
[DOMAIN:标签] [CAT:人物/翅膀] fish_tail | 鱼尾
[DOMAIN:标签] [CAT:人物/身份（职业）] nurse | 护士
[DOMAIN:标签] [CAT:人物/皮肤] brown_skin | 棕色皮肤
[DOMAIN:标签] [CAT:人物/头发发型] pigtails | 双马尾
[DOMAIN:标签] [CAT:人物/对象] marine_humanoid | 海洋人形种
[DOMAIN:标签] [CAT:人物/头发发型] undercut | 底层剃发
[DOMAIN:标签] [CAT:人物/嘴巴] chestnut_mouth | 栗形嘴
[DOMAIN:标签] [CAT:人物/肩部] shoulder_tattoo | 肩部纹身
[DOMAIN:标签] [CAT:人物/眼睛] white_eyes | 白眼
[DOMAIN:标签] [CAT:人物/身份（职业）] office_lady | 职场女性
[DOMAIN:标签] [CAT:人物/对象] mechanical_arms | 机械臂
[DOMAIN:标签] [CAT:人物/对象] tiger_ears | 虎耳
[DOMAIN:标签] [CAT:人物/面部] scar_on_cheek | 脸颊伤疤
[DOMAIN:标签] [CAT:人物/头发发型] bald | 秃头
[DOMAIN:标签] [CAT:人物/腹部] belly | 腹部
[DOMAIN:标签] [CAT:人物/性器官] precum | 前列腺液
[DOMAIN:标签] [CAT:人物/翅膀] curled_horns | 卷角
[DOMAIN:标签] [CAT:人物/性器官] innie_pussy | 内嵌式阴户
[DOMAIN:标签] [CAT:人物/对象] 5boys | 五男
[DOMAIN:标签] [CAT:人物/对象] alien_humanoid | 外星人形
[DOMAIN:标签] [CAT:人物/鼻子] animal_nose | 动物鼻子
[DOMAIN:标签] [CAT:人物/翅膀] skin-covered_horns | 覆皮角
[DOMAIN:标签] [CAT:人物/身材] toned_male | 肌肉男
[DOMAIN:标签] [CAT:人物/头发发型] wet_hair | 湿发
[DOMAIN:标签] [CAT:人物/对象] everyone | 全员
[DOMAIN:标签] [CAT:人物/身材] muscular_thighs | 粗壮大腿
[DOMAIN:标签] [CAT:人物/眼睛] alternate_eye_color | 异色瞳
[DOMAIN:标签] [CAT:人物/对象] clothed_male | 衣着男性
[DOMAIN:标签] [CAT:人物/身份（职业）] gyaru | 辣妹
[DOMAIN:标签] [CAT:人物/年龄] younger_penetrated | 年幼被插入方
[DOMAIN:标签] [CAT:人物/头发发型] cone_hair_bun | 锥形发髻
[DOMAIN:标签] [CAT:人物/指甲] green_nails | 绿色指甲
[DOMAIN:标签] [CAT:人物/身份（职业）] koakuma | 小恶魔
[DOMAIN:标签] [CAT:人物/对象] mother_and_daughter | 母女
[DOMAIN:标签] [CAT:人物/皮肤] multicolored_skin | 多色皮肤
[DOMAIN:标签] [CAT:人物/面部] whisker_markings | 须痕
[DOMAIN:标签] [CAT:人物/胸部] bare_pectorals | 裸露胸膛
[DOMAIN:标签] [CAT:人物/皮肤] grey_skin | 灰色皮肤
[DOMAIN:标签] [CAT:人物/对象] mouse_tail | 鼠尾
[DOMAIN:标签] [CAT:人物/身份（职业）] waitress | 女服务生
[DOMAIN:标签] [CAT:人物/对象] gender_transformation | 性别转换
[DOMAIN:标签] [CAT:人物/头发发型] split-color_hair | 双色发
[DOMAIN:标签] [CAT:人物/胸部] one_breast_out | 单侧露乳
[DOMAIN:标签] [CAT:人物/面部] facepaint | 面部彩绘
[DOMAIN:标签] [CAT:人物/身份（职业）] athletic_female | 运动型女性
[DOMAIN:标签] [CAT:人物/头发发型] alternate_hair_color | 异色发
[DOMAIN:标签] [CAT:人物/头发发型] colored_tips | 挑染发梢
[DOMAIN:标签] [CAT:人物/身份（职业）] vampire | 吸血鬼
[DOMAIN:标签] [CAT:人物/翅膀] raccoon_ears | 浣熊耳
[DOMAIN:标签] [CAT:人物/瞳孔] no_pupils | 无瞳孔
[DOMAIN:标签] [CAT:人物/翅膀] ice_wings | 冰晶翅膀
[DOMAIN:标签] [CAT:人物/身份（职业）] idol | 偶像
[DOMAIN:标签] [CAT:人物/腹部] happy_trail | 腹毛线
[DOMAIN:标签] [CAT:人物/胸部] huge_areola | 巨大乳晕
[DOMAIN:标签] [CAT:人物/年龄] younger_female | 年轻女性
[DOMAIN:标签] [CAT:人物/肩部] shoulder_blades | 肩胛骨
[DOMAIN:标签] [CAT:人物/性器官] big_anus | 巨大肛门
[DOMAIN:标签] [CAT:人物/身份（职业）] deity | 神祇
[DOMAIN:标签] [CAT:人物/胸部] pectoral_cleavage | 乳沟
[DOMAIN:标签] [CAT:人物/嘴巴] no_mouth | 无口
[DOMAIN:标签] [CAT:人物/指甲] aqua_nails | 水色美甲
[DOMAIN:标签] [CAT:人物/翅膀] tail_raised | 尾巴翘起
[DOMAIN:标签] [CAT:人物/头发发型] hair_slicked_back | 背头
[DOMAIN:标签] [CAT:人物/皮肤] stitches | 缝合痕迹
[DOMAIN:标签] [CAT:人物/对象] shark_tail | 鲨鱼尾
[DOMAIN:标签] [CAT:人物/性器官] saggy_balls | 松弛阴囊
[DOMAIN:标签] [CAT:人物/身材] giant | 巨人
[DOMAIN:标签] [CAT:人物/嘴巴] fang_out | 露尖牙
[DOMAIN:标签] [CAT:人物/牙齿] teeth_showing | 露齿
[DOMAIN:标签] [CAT:人物/瞳孔] constricted_pupils | 瞳孔收缩
[DOMAIN:标签] [CAT:人物/身份（职业）] mecha_musume | 机甲娘
[DOMAIN:标签] [CAT:人物/头发发型] two_tails | 双尾
[DOMAIN:标签] [CAT:人物/头发发型] hair_up | 盘发
[DOMAIN:标签] [CAT:人物/头发发型] huge_ahoge | 巨大呆毛
[DOMAIN:标签] [CAT:人物/皮肤] red_skin | 红色皮肤
[DOMAIN:标签] [CAT:人物/对象] head_fins | 头部鳍状物
[DOMAIN:标签] [CAT:人物/年龄] old | 古老
[DOMAIN:标签] [CAT:人物/头发发型] long_sideburns | 长鬓角
[DOMAIN:标签] [CAT:人物/鼻子] nosebleed | 流鼻血
[DOMAIN:标签] [CAT:人物/性器官] urethral | 尿道
[DOMAIN:标签] [CAT:人物/对象] bottomless_anthro | 无底拟人
[DOMAIN:标签] [CAT:人物/身份（职业）] brothers | 兄弟
[DOMAIN:标签] [CAT:人物/身材] fat | 肥胖
[DOMAIN:标签] [CAT:人物/胸部] multi_breast | 多重乳房
[DOMAIN:标签] [CAT:人物/皮肤] deep_skin | 深色皮肤
[DOMAIN:标签] [CAT:人物/胸部] blue_areola | 蓝色乳晕
[DOMAIN:标签] [CAT:人物/眼睛] glowing_eye | 发光眼睛
[DOMAIN:标签] [CAT:人物/对象] female/ambiguous | 女性/模糊性别
[DOMAIN:标签] [CAT:人物/性器官] pubic_tattoo | 耻部纹身
[DOMAIN:标签] [CAT:人物/眼睛] one-eyed | 独眼
[DOMAIN:标签] [CAT:人物/胸部] breast_size_difference | 乳房大小差异
[DOMAIN:标签] [CAT:人物/性器官] throbbing_penis | 搏动阴茎
[DOMAIN:标签] [CAT:人物/身份（职业）] onee-shota | 姐弟恋
[DOMAIN:标签] [CAT:人物/对象] animalization | 兽化
[DOMAIN:标签] [CAT:人物/性器官] sweaty_genitalia | 潮湿生殖器
[DOMAIN:标签] [CAT:人物/身份（职业）] multiple_persona | 多重人格
[DOMAIN:标签] [CAT:人物/眼睛] sparkling_eyes | 闪亮眼眸
[DOMAIN:标签] [CAT:人物/眼睛] blank_eyes | 无神双眼
[DOMAIN:标签] [CAT:人物/面部] eye_scar | 眼部伤疤
[DOMAIN:标签] [CAT:人物/身材] narrow_waist | 细腰
[DOMAIN:标签] [CAT:人物/身份（职业）] assertive_female | 强势女性
[DOMAIN:标签] [CAT:人物/身份（职业）] bisexual | 双性恋
[DOMAIN:标签] [CAT:人物/对象] mermaid | 美人鱼
[DOMAIN:标签] [CAT:人物/翅膀] asymmetrical_wings | 不对称翅膀
[DOMAIN:标签] [CAT:人物/眼睛] spiral_eyes | 螺旋眼
[DOMAIN:标签] [CAT:人物/眼睛] sanpaku | 三白眼
[DOMAIN:标签] [CAT:人物/面部] ear_blush | 耳廓泛红
[DOMAIN:标签] [CAT:人物/对象] black_horn | 黑色角
[DOMAIN:标签] [CAT:人物/皮肤] purple_skin | 紫色皮肤
[DOMAIN:标签] [CAT:人物/对象] chest_hair | 胸毛
[DOMAIN:标签] [CAT:人物/对象] kitsune | 妖狐
[DOMAIN:标签] [CAT:人物/身份（职业）] police | 警察
[DOMAIN:标签] [CAT:人物/对象] goat_horns | 山羊角
[DOMAIN:标签] [CAT:人物/胸部] puffy_areola | 肿胀乳晕
[DOMAIN:标签] [CAT:人物/头发发型] braided_bun | 编发髻
[DOMAIN:标签] [CAT:人物/皮肤] one-piece_tan | 连体泳衣晒痕
[DOMAIN:标签] [CAT:人物/皮肤] chest_tattoo | 胸部纹身
[DOMAIN:标签] [CAT:人物/身材] small_but_hung | 矮壮型
[DOMAIN:标签] [CAT:人物/性器官] erection_under_clothes | 衣物下勃起
[DOMAIN:标签] [CAT:人物/对象] lion_ears | 狮耳
[DOMAIN:标签] [CAT:人物/皮肤] two-tone_skin | 双色皮肤
[DOMAIN:标签] [CAT:人物/身材] ribs | 肋骨
[DOMAIN:标签] [CAT:人物/对象] wounded | 受伤
[DOMAIN:标签] [CAT:人物/对象] blood_on_hands | 手上沾血
